category_english,revenue

bed_bath_table,1712536.14100313
health_beauty,1657367.69939351
computers_accessories,1585327.47625828
furniture_decor,1430169.51177657
watches_gifts,1429214.67859244
sports_leisure,1392125.13914955
housewares,1094752.22028387
auto,852293.09112525
garden_tools,838275.010778189
cool_stuff,779694.720048666
office_furniture,646826.487148523
toys,619036.119479418
baby,539844.979735017
perfumery,506736.849894047
telephony,486876.680712581
stationery,317440.069658756
pet_shop,311267.780301452
computers,279121.549365997
electronics,259856.069674134
UNKNOWN,259310.370173216
construction_tools_construction,241475.630258799
musical_instruments,233074.120687962
small_appliances,225584.110023499
fashion_bags_accessories,218155.030022144
fixed_telephony,207010.259652376
consoles_games,195480.379125357
luggage_accessories,187149.440385103
NULL,162591.040219545
home_construction,136644.810306549
furniture_living_room,136138.770012856
home_appliances_2,124563.460985184
agro_industry_and_commerce,118730.610542059
home_appliances,95530.5498273373
air_conditioning,91170.6594867706
home_confort,84329.0600186586
kitchen_dining_laundry_garden_furniture,74660.9798231125
construction_tools_lights,72712.4799132347
drinks,71429.6509256363
signaling_and_security,68488.0503454208
construction_tools_safety,65691.029706955
books_general_interest,64694.7596154213
audio,60323.920106411
industry_commerce_and_business,56745.7601060867
small_appliances_home_oven_and_coffee,51229.3202457428
food,46428.6702132225
market_place,45335.9202588797
costruction_tools_garden,42394.410119772
fashion_shoes,32422.7399759293
furniture_bedroom,31598.9399185181
art,30992.9301080704
food_drink,27289.7299141884
books_technical,24915.4399147034
costruction_tools_tools,21069.0700798035
christmas_supplies,18994.7699942589
fashion_male_clothing,17290.9800858498
fashion_underwear_beach,12714.5399303436
tablets_printing_image,10042.9300041199
cine_photo,9530.31997799873
dvds_blu_ray,7935.27993988991
music,6901.42999529839
books_imported,6701.89001846313
furniture_mattress_and_upholstery,5998.54007720947
party_supplies,5966.31005573273
fashio_female_clothing,5109.61996459961
diapers_and_hygiene,4221.24998092651
fashion_sport,3645.91997528076
la_cuisine,2913.53002166748
arts_and_craftmanship,2326.16998291016
flowers,2213.00998497009
home_comfort_2,1710.5400056839
cds_dvds_musicals,1199.43001556396
fashion_childrens_clothes,785.670001983643
security_and_services,324.509994506836
